ens_id,gene,log2FC,aveEXP,t,p-value,q-value
ENSG00000000003,TSPAN6,3.2,4.49,42.69,2.20E-124,3.96E-123
ENSG00000000005,TNMD,0.37,0.44,3.96,9.44E-05,6.43E-06
ENSG00000000419,DPM1,0.91,4.88,17.19,1.14E-45,2.25E-46
ENSG00000000457,SCYL3,0.64,2.12,14.01,3.85E-34,5.59E-35
ENSG00000000460,FIRRM,1.54,2.03,29.24,5.75E-87,5.48E-87
ENSG00000000938,FGR,0.47,2.8,5.19,4.08E-07,3.00E-08
ENSG00000000971,CFH,1.17,3.3,8.93,6.00E-17,5.75E-18
ENSG00000001036,FUCA2,2.13,4.26,30.59,3.91E-91,4.83E-91
ENSG00000001084,GCLC,0.62,4.05,8.02,2.85E-14,2.54E-15
ENSG00000001167,NFYA,0.43,3.14,7,1.90E-11,1.57E-12
ENSG00000001460,STPG1,-1.26,2.61,-13.48,3.00E-32,4.16E-33
ENSG00000001461,NIPAL3,-1.01,3.84,-10.58,3.25E-22,3.53E-23
ENSG00000001497,LAS1L,-0.8,4.82,-12.46,1.21E-28,1.53E-29
ENSG00000001561,ENPP4,-0.31,2.77,-2.9,0.00405,0.000259
ENSG00000001617,SEMA3F,0.41,2.56,3.58,0.000399,2.66E-05
ENSG00000001626,CFTR,-0.67,1.17,-7.93,5.23E-14,4.63E-15
ENSG00000001629,ANKIB1,1.4,4.2,16.96,7.66E-45,1.48E-45
ENSG00000001630,CYP51A1,1.04,5.13,11.99,5.27E-27,6.42E-28
ENSG00000001631,KRIT1,0.54,4.23,6.57,2.42E-10,1.95E-11
ENSG00000002016,RAD52,-0.44,3.27,-5.78,2.01E-08,1.53E-09
ENSG00000002330,BAD,0.2,6.72,3.14,0.00188,0.000122
ENSG00000002549,LAP3,2.15,6.02,28.29,5.58E-84,4.57E-84
ENSG00000002586,CD99,3.65,7.95,33.13,9.74E-99,1.99E-98
ENSG00000002587,HS3ST1,1.44,1.9,15.02,9.07E-38,1.45E-38
ENSG00000002745,WNT16,0.28,0.52,3.5,0.000548,3.63E-05
ENSG00000002746,HECW1,-2.06,1.65,-23.05,1.45E-66,5.48E-67
ENSG00000002822,MAD1L1,0.13,4.42,1.92,0.0564,0.00342
ENSG00000002834,LASP1,0.72,5.64,10.19,5.94E-21,6.26E-22
ENSG00000002919,SNX11,0.86,4.23,17.51,7.94E-47,1.62E-47
ENSG00000002933,TMEM176A,2.25,5.16,15.92,4.93E-41,8.61E-42
ENSG00000003056,M6PR,1.22,5.85,21.7,7.35E-62,2.38E-62
ENSG00000003096,KLHL13,2.16,2.58,26.58,1.96E-78,1.21E-78
ENSG00000003137,CYP26B1,-1.32,1.7,-13.19,3.30E-31,4.45E-32
ENSG00000003147,ICA1,-1.5,3.96,-16.17,5.96E-42,1.06E-42
ENSG00000003249,DBNDD1,-1.36,5.19,-11.87,1.34E-26,1.62E-27
ENSG00000003393,ALS2,-0.11,3.33,-1.91,0.0575,0.00349
ENSG00000003400,CASP10,0.47,1.5,8.36,2.94E-15,2.69E-16
ENSG00000003402,CFLAR,0.75,4.27,10.53,4.58E-22,4.96E-23
ENSG00000003436,TFPI,2.87,2.85,24.58,8.58E-72,3.95E-72
ENSG00000003509,NDUFAF7,0.15,3.19,3.14,0.00187,0.000122
ENSG00000003756,RBM5,-0.49,6.17,-6.06,4.28E-09,3.34E-10
ENSG00000003987,MTMR7,-1.48,1.76,-19.88,2.12E-55,5.52E-56
ENSG00000003989,SLC7A2,-0.24,1.83,-2.19,0.0294,0.00181
ENSG00000004059,ARF5,0.69,7.76,11.04,9.49E-24,1.07E-24
ENSG00000004139,SARM1,0.44,3.67,5.34,1.92E-07,1.43E-08
ENSG00000004142,POLDIP2,0.6,6.04,11.9,1.12E-26,1.35E-27
ENSG00000004399,PLXND1,0.42,5.97,4.68,4.57E-06,3.25E-07
ENSG00000004455,AK2,2.02,6.25,36.78,4.73E-109,2.21E-108
ENSG00000004468,CD38,1.17,2.02,10.56,3.64E-22,3.95E-23
ENSG00000004478,FKBP4,-0.29,5.44,-3.95,9.72E-05,6.62E-06
ENSG00000004487,KDM1A,0.95,5.42,13.53,1.97E-32,2.75E-33
ENSG00000004534,RBM6,-0.71,5.48,-8.49,1.22E-15,1.13E-16
ENSG00000004660,CAMKK1,-3.26,3.81,-28.2,1.07E-83,8.64E-84
ENSG00000004700,RECQL,1.93,3.2,28.82,1.19E-85,1.06E-85
ENSG00000004766,VPS50,0.13,3.71,2.14,0.0335,0.00206
ENSG00000004776,HSPB6,0.81,5.54,7.17,6.78E-12,5.69E-13
ENSG00000004777,ARHGAP33,-1.13,4.95,-10.35,1.88E-21,2.01E-22
ENSG00000004779,NDUFAB1,0.39,6.88,6.46,4.60E-10,3.68E-11
ENSG00000004799,PDK4,-0.5,3.56,-3.51,0.000521,3.45E-05
ENSG00000004838,ZMYND10,1.46,2.78,9.53,8.31E-19,8.33E-20
ENSG00000004848,ARX,-1.06,2.07,-9.6,4.90E-19,4.94E-20
ENSG00000004864,SLC25A13,1.76,3.36,24.19,1.83E-70,8.04E-71
ENSG00000004866,ST7,1.09,4.36,19.41,1.02E-53,2.51E-54
ENSG00000004897,CDC27,0.97,4.16,15.4,3.83E-39,6.37E-40
ENSG00000004939,SLC4A1,-0.09,0.19,-2.42,0.0161,0.00101
ENSG00000004961,HCCS,1.17,3.81,18.04,9.46E-49,2.03E-49
ENSG00000004975,DVL2,0.05,4.56,0.65,0.518,0.0294
ENSG00000005007,UPF1,0.11,4.71,1.51,0.132,0.00785
ENSG00000005020,SKAP2,1.31,3.43,12.07,2.82E-27,3.46E-28
ENSG00000005022,SLC25A5,1.14,7.83,19.64,1.54E-54,3.88E-55
ENSG00000005059,MCUB,3.25,3.31,33.57,5.21E-100,1.16E-99
ENSG00000005073,HOXA11,0.85,0.53,9.99,2.69E-20,2.79E-21
ENSG00000005075,POLR2J,1.78,6.58,30.84,6.42E-92,8.42E-92
ENSG00000005100,DHX33,0.52,2.83,8.04,2.56E-14,2.29E-15
ENSG00000005108,THSD7A,0.69,1.51,8.24,6.69E-15,6.07E-16
ENSG00000005156,LIG3,0.65,3.32,9.29,4.70E-18,4.63E-19
ENSG00000005175,RPAP3,1.05,3.4,17.29,4.81E-46,9.60E-47
ENSG00000005187,ACSM3,0.31,0.61,6.65,1.52E-10,1.23E-11
ENSG00000005189,REXO5,0.82,1.97,10.63,2.26E-22,2.47E-23
ENSG00000005194,CIAPIN1,1.02,5.27,16.69,7.75E-44,1.45E-44
ENSG00000005206,SPPL2B,-0.04,5.27,-0.36,0.717,0.0401
ENSG00000005238,ATOSB,0.09,4.08,1.31,0.191,0.0112
ENSG00000005243,COPZ2,1.97,4.39,17.74,1.12E-47,2.33E-48
ENSG00000005249,PRKAR2B,-1.18,3.42,-12.01,4.69E-27,5.73E-28
ENSG00000005302,MSL3,0.06,4.44,1.22,0.222,0.013
ENSG00000005339,CREBBP,0.18,3.6,2.22,0.0275,0.0017
ENSG00000005379,TSPOAP1,-3.44,4.91,-27.25,1.29E-80,8.86E-81
ENSG00000005381,MPO,-0.71,0.63,-15.98,2.94E-41,5.17E-42
ENSG00000005421,PON1,-0.34,0.49,-8.13,1.40E-14,1.27E-15
ENSG00000005436,GCFC2,0.58,3.54,9.54,7.53E-19,7.56E-20
ENSG00000005448,WDR54,0.93,4.91,14.23,6.40E-35,9.47E-36
ENSG00000005469,CROT,1.84,3.69,23.88,1.97E-69,8.30E-70
ENSG00000005471,ABCB4,1.2,1.16,19.61,1.99E-54,5.02E-55
ENSG00000005483,KMT2E,0.29,4.25,3.41,0.000756,4.98E-05
ENSG00000005486,RHBDD2,0,7.67,-0.03,0.973,0.0535
ENSG00000005513,SOX8,0.88,5.31,5.25,3.08E-07,2.28E-08
ENSG00000005700,IBTK,0.05,3.42,0.95,0.343,0.0198
ENSG00000005801,ZNF195,0.32,3.7,5.75,2.30E-08,1.76E-09
ENSG00000005810,MYCBP2,-1.78,4.93,-21.87,1.91E-62,6.30E-63
ENSG00000005812,FBXL3,0.66,4.3,11.52,2.24E-25,2.62E-26
ENSG00000005844,ITGAL,1.5,1.76,16.79,3.31E-44,6.25E-45
ENSG00000005882,PDK2,-0.55,5.55,-8.15,1.22E-14,1.10E-15
ENSG00000005884,ITGA3,1.16,4.44,8.27,5.49E-15,4.99E-16
ENSG00000005889,ZFX,1.01,2.58,16.57,2.03E-43,3.76E-44
ENSG00000005893,LAMP2,1.99,6.21,23.97,1.01E-69,4.32E-70
ENSG00000005961,ITGA2B,-1.47,1.58,-20.14,2.57E-56,6.89E-57
ENSG00000005981,ASB4,-0.48,0.49,-13.29,1.47E-31,2.00E-32
ENSG00000006007,GDE1,0.32,5.79,6.01,5.85E-09,4.54E-10
ENSG00000006015,REX1BD,-0.54,6,-7.37,1.90E-12,1.63E-13
ENSG00000006016,CRLF1,-2.42,3.9,-15.67,3.96E-40,6.75E-41
ENSG00000006025,OSBPL7,-0.95,3.48,-11.74,3.89E-26,4.64E-27
ENSG00000006042,TMEM98,1.21,4.81,8.99,3.97E-17,3.82E-18
ENSG00000006047,YBX2,-1.3,1.22,-18.95,4.65E-52,1.10E-52
ENSG00000006062,MAP3K14,0.85,3.03,11.81,2.20E-26,2.64E-27
ENSG00000006071,ABCC8,-3.46,3.7,-26.84,2.76E-79,1.79E-79
ENSG00000006116,CACNG3,-4.2,2.41,-36.51,2.66E-108,1.13E-107
ENSG00000006118,TMEM132A,0.13,6.35,1.38,0.169,0.00998
ENSG00000006125,AP2B1,0.21,6.34,3.1,0.00216,0.00014
ENSG00000006128,TAC1,-1.29,2.51,-7.01,1.83E-11,1.52E-12
ENSG00000006194,ZNF263,0.61,4.29,8.81,1.32E-16,1.25E-17
ENSG00000006210,CX3CL1,-0.67,5.11,-6.63,1.72E-10,1.39E-11
ENSG00000006282,SPATA20,-0.4,5.14,-4.66,4.88E-06,3.47E-07
ENSG00000006283,CACNA1G,-1.63,2.27,-15.25,1.34E-38,2.20E-39
ENSG00000006327,TNFRSF12A,4.82,4.53,33.82,1.02E-100,2.36E-100
ENSG00000006377,DLX6,-0.3,0.91,-2.65,0.00851,0.000537
ENSG00000006432,MAP3K9,-2.17,1.53,-29.73,1.76E-88,1.87E-88
ENSG00000006451,RALA,1.55,4.8,27.65,6.17E-82,4.55E-82
ENSG00000006453,BAIAP2L1,-0.16,0.75,-2.87,0.00437,0.000279
ENSG00000006459,KDM7A,0.38,1.73,5.88,1.15E-08,8.86E-10
ENSG00000006468,ETV1,2.98,4.65,28.61,5.73E-85,4.98E-85
ENSG00000006530,AGK,0.71,4.34,11.09,6.60E-24,7.48E-25
ENSG00000006534,ALDH3B1,1.7,2.39,20.23,1.19E-56,3.22E-57
ENSG00000006555,TTC22,-0.44,0.25,-20.17,2.02E-56,5.44E-57
ENSG00000006576,PHTF2,1.08,2.97,17.43,1.52E-46,3.08E-47
ENSG00000006606,CCL26,0.81,0.67,9.68,2.59E-19,2.63E-20
ENSG00000006607,FARP2,-0.03,3.45,-0.45,0.651,0.0365
ENSG00000006611,USH1C,-0.32,2.05,-2.07,0.0398,0.00244
ENSG00000006625,GGCT,0.48,5.44,6.92,3.16E-11,2.61E-12
ENSG00000006634,DBF4,2.23,2.9,28.87,8.18E-86,7.39E-86
ENSG00000006638,TBXA2R,1.15,1.4,17.76,9.29E-48,1.94E-48
ENSG00000006652,IFRD1,1.33,5.19,19.56,3.08E-54,7.73E-55
ENSG00000006695,COX10,0.49,2.51,11.07,7.66E-24,8.66E-25
ENSG00000006704,GTF2IRD1,1.04,4,15.17,2.52E-38,4.09E-39
ENSG00000006712,PAF1,0.66,5.46,10.77,7.60E-23,8.40E-24
ENSG00000006715,VPS41,0.45,5.09,6.22,1.84E-09,1.45E-10
ENSG00000006740,ARHGAP44,-3.18,2.46,-33.5,8.38E-100,1.82E-99
ENSG00000006744,ELAC2,0.55,4.97,9.65,3.45E-19,3.49E-20
ENSG00000006747,SCIN,3.11,2.76,21.53,2.84E-61,9.01E-62
ENSG00000006756,ARSD,1.81,2.89,22.78,1.22E-65,4.45E-66
ENSG00000006757,PNPLA4,0.63,3.36,6.08,3.98E-09,3.11E-10
ENSG00000006831,ADIPOR2,0.26,4.78,3.41,0.000757,4.99E-05
ENSG00000006837,CDKL3,0.56,2.9,9.54,7.22E-19,7.25E-20
ENSG00000007001,UPP2,-1.01,0.73,-24.16,2.19E-70,9.58E-71
ENSG00000007038,PRSS21,0.03,0.29,0.77,0.442,0.0252
ENSG00000007047,MARK4,-0.77,4.57,-10.86,3.81E-23,4.24E-24
ENSG00000007062,PROM1,1.48,2.64,10.73,1.05E-22,1.16E-23
ENSG00000007080,CCDC124,0.2,6.74,2.75,0.00637,0.000405
ENSG00000007129,CEACAM21,1.38,1.37,17.9,3.04E-48,6.43E-49
ENSG00000007168,PAFAH1B1,-0.29,5.78,-4.04,6.78E-05,4.65E-06
ENSG00000007171,NOS2,0.08,1.83,0.5,0.618,0.0348
ENSG00000007174,DNAH9,1.09,3.3,9.1,1.78E-17,1.72E-18
ENSG00000007202,BLTP2,0.4,5.06,5.57,6.09E-08,4.60E-09
ENSG00000007237,GAS7,-1.23,5.19,-9.6,4.85E-19,4.90E-20
ENSG00000007255,TRAPPC6A,0.49,4.64,7.46,1.09E-12,9.35E-14
ENSG00000007264,MATK,-3.8,3.03,-42.7,2.04E-124,3.75E-123
ENSG00000007312,CD79B,0.7,0.84,10.99,1.36E-23,1.53E-24
ENSG00000007341,ST7L,1.1,3.6,20.98,2.57E-59,7.62E-60
ENSG00000007350,TKTL1,0.93,0.84,9.09,1.92E-17,1.86E-18
ENSG00000007372,PAX6,0.11,3.99,1.01,0.315,0.0182
ENSG00000007376,RPUSD1,0.02,4.26,0.26,0.792,0.044
ENSG00000007384,RHBDF1,0.53,4.04,5.78,1.98E-08,1.52E-09
ENSG00000007392,LUC7L,-0.64,5.94,-7.61,4.18E-13,3.62E-14
ENSG00000007402,CACNA2D2,-1.82,1.82,-21.21,3.78E-60,1.15E-60
ENSG00000007516,BAIAP3,-2.57,4.67,-16.78,3.44E-44,6.50E-45
ENSG00000007520,TSR3,0.52,5.82,8.78,1.71E-16,1.62E-17
ENSG00000007541,PIGQ,-0.55,5.17,-6.87,4.21E-11,3.46E-12
ENSG00000007545,CRAMP1,-0.07,2.83,-0.85,0.395,0.0227
ENSG00000007866,TEAD3,1.21,2.32,12.62,3.39E-29,4.36E-30
ENSG00000007908,SELE,-0.25,0.35,-3.08,0.00227,0.000147
ENSG00000007923,DNAJC11,-0.18,4.42,-2.44,0.0155,0.000965
ENSG00000007933,FMO3,0.3,0.79,5.09,6.51E-07,4.75E-08
ENSG00000007944,MYLIP,-0.04,2.89,-0.49,0.625,0.0352
ENSG00000007968,E2F2,1.52,0.96,19.66,1.29E-54,3.28E-55
ENSG00000008018,PSMB1,1.53,7.25,27.07,4.88E-80,3.26E-80
ENSG00000008056,SYN1,-4.12,4.95,-26.16,4.64E-77,2.64E-77
ENSG00000008083,JARID2,-0.03,2.54,-0.45,0.65,0.0365
ENSG00000008086,CDKL5,-1.7,1.86,-21.42,6.85E-61,2.14E-61
ENSG00000008118,CAMK1G,-3.9,2.83,-30.81,8.16E-92,1.06E-91
ENSG00000008128,CDK11A,-0.44,4.61,-4.79,2.67E-06,1.91E-07
ENSG00000008130,NADK,0.78,5.16,13.11,6.11E-31,8.19E-32
ENSG00000008196,TFAP2B,0.35,0.22,6.35,8.52E-10,6.76E-11
ENSG00000008226,DLEC1,0.48,1.13,5.45,1.12E-07,8.38E-09
ENSG00000008256,CYTH3,-0.2,4.16,-2.9,0.00398,0.000255
ENSG00000008277,ADAM22,-0.56,3.16,-6.45,4.79E-10,3.83E-11
ENSG00000008282,SYPL1,2.33,5.3,29.47,1.07E-87,1.08E-87
ENSG00000008283,CYB561,-0.83,4.16,-8.78,1.64E-16,1.56E-17
ENSG00000008294,SPAG9,0.46,5.47,5.77,2.12E-08,1.62E-09
ENSG00000008300,CELSR3,-1.69,3.06,-13.84,1.58E-33,2.25E-34
ENSG00000008311,AASS,0.82,3.06,8.7,2.95E-16,2.78E-17
ENSG00000008323,PLEKHG6,0.22,0.24,5.73,2.58E-08,1.97E-09
ENSG00000008324,SS18L2,0.38,4.86,7.2,5.49E-12,4.63E-13
ENSG00000008382,MPND,-0.49,4.33,-7.64,3.56E-13,3.09E-14
ENSG00000008394,MGST1,0.87,6.44,6.38,7.16E-10,5.69E-11
ENSG00000008405,CRY1,1.59,3.75,22.01,6.08E-63,2.03E-63
ENSG00000008438,PGLYRP1,-0.11,0.28,-2.35,0.0195,0.00121
ENSG00000008441,NFIX,0.83,6.43,8.06,2.28E-14,2.04E-15
ENSG00000008513,ST3GAL1,-0.24,2.55,-3.15,0.0018,0.000117
ENSG00000008516,MMP25,0.82,1.44,9.35,3.01E-18,2.98E-19
ENSG00000008517,IL32,2.37,4.58,17.79,7.72E-48,1.62E-48
ENSG00000008710,PKD1,-2.14,6.28,-16.95,8.47E-45,1.63E-45
ENSG00000008735,MAPK8IP2,-3.23,4.83,-28.3,5.19E-84,4.26E-84
ENSG00000008838,MED24,-0.16,5.75,-2.1,0.0362,0.00222
ENSG00000008853,RHOBTB2,-1.69,4.34,-19.09,1.47E-52,3.52E-53
ENSG00000008869,HEATR5B,-0.02,2.74,-0.26,0.797,0.0443
ENSG00000008952,SEC62,0.52,5.82,7.71,2.16E-13,1.89E-14
ENSG00000008988,RPS20,1.41,9.68,25.75,1.02E-75,5.49E-76
ENSG00000009307,CSDE1,0.88,6.9,13.91,9.26E-34,1.33E-34
ENSG00000009335,UBE3C,0.86,4.23,13.72,4.13E-33,5.85E-34
ENSG00000009413,REV3L,0.49,3.37,5.74,2.49E-08,1.90E-09
ENSG00000009694,TENM1,0.41,1.21,4.71,3.96E-06,2.82E-07
ENSG00000009709,PAX7,-0.73,0.43,-13.29,1.48E-31,2.01E-32
ENSG00000009724,MASP2,-0.16,1.06,-2.76,0.00619,0.000393
ENSG00000009780,FAM76A,0.72,2.66,13.21,2.71E-31,3.67E-32
ENSG00000009790,TRAF3IP3,1.13,1.51,15.72,2.51E-40,4.29E-41
ENSG00000009830,POMT2,0.52,4.02,6.72,1.00E-10,8.15E-12
ENSG00000009844,VTA1,1.26,4.64,19.18,7.02E-53,1.69E-53
ENSG00000009950,MLXIPL,-2.56,2.98,-26.42,6.20E-78,3.72E-78
ENSG00000009954,BAZ1B,1.11,4.43,14.04,3.15E-34,4.58E-35
ENSG00000010017,RANBP9,0.54,4.95,8.34,3.55E-15,3.24E-16
ENSG00000010030,ETV7,0.89,1.23,10.28,3.23E-21,3.43E-22
ENSG00000010072,SPRTN,1.29,2.27,27.38,4.66E-81,3.29E-81
ENSG00000010165,METTL13,1.07,4.22,18.74,2.81E-51,6.48E-52
ENSG00000010219,DYRK4,1.1,5.32,21.66,1.03E-61,3.33E-62
ENSG00000010244,ZNF207,1.3,6.09,26.72,6.68E-79,4.23E-79
ENSG00000010256,UQCRC1,0.64,7.47,10.62,2.34E-22,2.56E-23
ENSG00000010270,STARD3NL,2.25,5.64,34.78,1.79E-103,5.16E-103
ENSG00000010278,CD9,2.74,7.36,26.2,3.33E-77,1.91E-77
ENSG00000010282,HHATL,-3.21,4.49,-21.19,4.54E-60,1.38E-60
ENSG00000010292,NCAPD2,1.68,3.73,20.98,2.57E-59,7.60E-60
ENSG00000010295,IFFO1,-0.35,4.94,-4.64,5.41E-06,3.84E-07
ENSG00000010310,GIPR,-0.67,0.76,-8.8,1.47E-16,1.39E-17
ENSG00000010318,PHF7,-0.13,2.39,-1.95,0.0522,0.00317
ENSG00000010319,SEMA3G,-1.18,1.7,-14.62,2.47E-36,3.79E-37
ENSG00000010322,NISCH,-1.23,5.66,-15.08,5.26E-38,8.47E-39
ENSG00000010327,STAB1,2.42,5.02,19.42,9.33E-54,2.30E-54
ENSG00000010361,FUZ,0.3,4.93,4.5,9.79E-06,6.90E-07
ENSG00000010379,SLC6A13,-2.34,1.9,-29.28,4.39E-87,4.21E-87
ENSG00000010404,IDS,-1.51,6.67,-15.96,3.50E-41,6.14E-42
ENSG00000010438,PRSS3,-3.19,3.27,-29.68,2.42E-88,2.55E-88
ENSG00000010539,ZNF200,1.1,2.36,23.12,8.09E-67,3.08E-67
ENSG00000010610,CD4,2.66,4.01,26.87,2.10E-79,1.37E-79
ENSG00000010626,LRRC23,0.53,4.37,6.53,3.13E-10,2.52E-11
ENSG00000010671,BTK,1.82,2.32,20.86,6.64E-59,1.94E-59
ENSG00000010704,HFE,1.68,1.83,21.27,2.31E-60,7.08E-61
ENSG00000010803,SCMH1,0.18,4.07,3.01,0.00283,0.000182
ENSG00000010810,FYN,1.19,7.23,14.71,1.17E-36,1.82E-37
ENSG00000010818,HIVEP2,-1.25,2.84,-15.6,6.92E-40,1.17E-40
ENSG00000010932,FMO1,0.37,0.37,5.19,4.11E-07,3.02E-08
ENSG00000011007,ELOA,1.28,3.65,22.08,3.28E-63,1.11E-63
ENSG00000011009,LYPLA2,0.65,5.05,10.6,2.69E-22,2.94E-23
ENSG00000011021,CLCN6,-0.76,3.87,-9.48,1.12E-18,1.12E-19
ENSG00000011028,MRC2,3.46,4.3,28.62,5.07E-85,4.42E-85
ENSG00000011052,NME1-NME2,2.26,5.41,22.45,1.71E-64,6.00E-65
ENSG00000011083,SLC6A7,-4.1,2.07,-41.92,1.81E-122,2.72E-121
ENSG00000011105,TSPAN9,0.56,3.35,6.16,2.47E-09,1.93E-10
ENSG00000011114,BTBD7,0.57,2.44,9.39,2.29E-18,2.27E-19
ENSG00000011132,APBA3,0.46,3.95,6.94,2.78E-11,2.29E-12
ENSG00000011143,MKS1,0.93,3.66,15.2,1.97E-38,3.21E-39
ENSG00000011198,ABHD5,1.78,3.38,32.11,1.01E-95,1.69E-95
ENSG00000011201,ANOS1,2.15,3.07,20.23,1.14E-56,3.10E-57
ENSG00000011243,AKAP8L,-0.84,5.68,-10.37,1.60E-21,1.71E-22
ENSG00000011258,MBTD1,0.56,2.41,8.42,2.02E-15,1.86E-16
ENSG00000011260,UTP18,1.1,4.73,22.33,4.40E-64,1.53E-64
ENSG00000011275,RNF216,0.97,4.12,13.69,5.69E-33,8.02E-34
ENSG00000011295,TTC19,-0.02,5.05,-0.33,0.741,0.0414
ENSG00000011304,PTBP1,1.94,5.81,27.04,6.03E-80,4.02E-80
ENSG00000011332,DPF1,-0.9,4.48,-8.11,1.58E-14,1.42E-15
ENSG00000011347,SYT7,-3.31,3.72,-22.64,3.73E-65,1.34E-65
ENSG00000011376,LARS2,0.21,3.6,3.26,0.00126,8.24E-05
ENSG00000011405,PIK3C2A,0.44,3.21,6.41,6.13E-10,4.88E-11
ENSG00000011422,PLAUR,2.81,3.71,22.28,6.85E-64,2.37E-64
ENSG00000011426,ANLN,0.38,3.93,3.16,0.00178,0.000116
ENSG00000011451,WIZ,-0.14,4.69,-1.83,0.068,0.00411
ENSG00000011454,RABGAP1,-0.09,4.4,-1.28,0.203,0.0119
ENSG00000011465,DCN,2.17,5.96,13.95,6.39E-34,9.22E-35
ENSG00000011478,QPCTL,0.7,2.96,11.07,7.31E-24,8.27E-25
ENSG00000011485,PPP5C,0.47,5.86,7.11,9.98E-12,8.34E-13
ENSG00000011523,CEP68,0,3.25,-0.04,0.971,0.0534
ENSG00000011566,MAP4K3,0.42,3.67,6.78,6.99E-11,5.72E-12
ENSG00000011600,TYROBP,4.31,6.4,34.53,9.06E-103,2.49E-102
ENSG00000011638,LDAF1,1.68,2.96,21.29,2.03E-60,6.23E-61
ENSG00000011677,GABRA3,-1.67,2.26,-12.31,4.10E-28,5.12E-29
ENSG00000012048,BRCA1,1.67,2.27,21.1,9.87E-60,2.96E-60
ENSG00000012061,ERCC1,1.04,6.09,19.11,1.24E-52,2.97E-53
ENSG00000012124,CD22,-2.93,2.42,-23.19,4.80E-67,1.84E-67
ENSG00000012171,SEMA3B,-1.1,4.9,-8.72,2.51E-16,2.36E-17
ENSG00000012174,MBTPS2,1.46,2.75,24.35,5.25E-71,2.34E-71
ENSG00000012211,PRICKLE3,0.9,1.8,13.36,8.29E-32,1.14E-32
ENSG00000012223,LTF,4.84,3.68,16.45,5.55E-43,1.02E-43
ENSG00000012232,EXTL3,0.74,4.46,8.42,1.96E-15,1.80E-16
ENSG00000012660,ELOVL5,1.71,5.59,22.79,1.11E-65,4.08E-66
ENSG00000012779,ALOX5,1.8,3.17,15.31,8.15E-39,1.34E-39
ENSG00000012817,KDM5D,-0.72,2.55,-3.2,0.00153,9.94E-05
ENSG00000012822,CALCOCO1,-0.54,5.99,-8.43,1.92E-15,1.76E-16
ENSG00000012963,UBR7,1.18,4.44,17.98,1.49E-48,3.18E-49
ENSG00000012983,MAP4K5,-0.32,3.79,-3.73,0.000236,1.59E-05
ENSG00000013016,EHD3,-1.77,3.91,-17.83,5.26E-48,1.11E-48
ENSG00000013275,PSMC4,1.41,6.16,26.61,1.46E-78,9.10E-79
ENSG00000013288,MAN2B2,0.08,3.85,1.21,0.227,0.0133
ENSG00000013293,SLC7A14,-1.26,1.45,-13.28,1.52E-31,2.07E-32
ENSG00000013297,CLDN11,-0.23,4.79,-1.2,0.232,0.0135
ENSG00000013306,SLC25A39,0.83,6.26,15.93,4.26E-41,7.45E-42
ENSG00000013364,MVP,1.17,4.8,10.33,2.20E-21,2.34E-22
ENSG00000013374,NUB1,1.08,5.02,18.54,1.46E-50,3.31E-51
ENSG00000013375,PGM3,1.19,3.85,18.06,7.81E-49,1.68E-49
ENSG00000013392,RWDD2A,-0.01,2.66,-0.18,0.855,0.0473
ENSG00000013441,CLK1,-0.78,6.01,-9.85,7.58E-20,7.78E-21
ENSG00000013503,POLR3B,0.62,2.15,11.52,2.23E-25,2.61E-26
ENSG00000013523,ANGEL1,-0.13,3.67,-1.82,0.0697,0.00421
ENSG00000013561,RNF14,1,5.24,16.43,6.51E-43,1.19E-43
ENSG00000013563,DNASE1L1,0.35,3.91,4.82,2.35E-06,1.69E-07
ENSG00000013573,DDX11,0.72,3.41,7.15,7.46E-12,6.26E-13
ENSG00000013583,HEBP1,0.65,5,9.11,1.59E-17,1.54E-18
ENSG00000013588,GPRC5A,1.38,1.44,10.67,1.58E-22,1.74E-23
ENSG00000013619,MAMLD1,0.23,3.24,2.65,0.00839,0.00053
ENSG00000013725,CD6,-0.27,0.91,-4.51,9.43E-06,6.65E-07
ENSG00000013810,TACC3,2.45,3.68,23.86,2.33E-69,9.80E-70
ENSG00000014123,UFL1,0.94,3.12,15.14,3.29E-38,5.32E-39
ENSG00000014138,POLA2,1.57,3.4,22.59,5.49E-65,1.96E-65
ENSG00000014164,ZC3H3,0.15,3.31,2.23,0.0267,0.00165
ENSG00000014216,CAPN1,0.29,5.81,4.78,2.81E-06,2.02E-07
ENSG00000014257,ACP3,0.74,0.71,11.48,2.97E-25,3.47E-26
ENSG00000014641,MDH1,-1.21,7.82,-17.87,3.78E-48,7.99E-49
ENSG00000014824,SLC30A9,0.63,4.78,9.98,3.04E-20,3.15E-21
ENSG00000014914,MTMR11,0.85,3.47,9.89,5.61E-20,5.78E-21
ENSG00000014919,COX15,0.18,3.97,3.47,0.000611,4.04E-05
ENSG00000015133,CCDC88C,-0.07,1.88,-0.89,0.374,0.0215
ENSG00000015153,YAF2,1.14,4.25,16.9,1.29E-44,2.48E-45
ENSG00000015171,ZMYND11,-0.39,4.76,-5.68,3.29E-08,2.50E-09
ENSG00000015285,WAS,2.07,2.94,21.38,9.67E-61,3.00E-61
ENSG00000015413,DPEP1,2.37,1.59,18.14,4.03E-49,8.75E-50
ENSG00000015475,BID,0.67,5.17,9.64,3.72E-19,3.76E-20
ENSG00000015479,MATR3,0.68,7.17,10.41,1.20E-21,1.29E-22
